"","entityIso","entityName.x","dataYear","Active mobile-broadband subscriptions per 100 people","Data and voice mobile-broadband subscriptions per 100 people","Fixed-broadband subscriptions per 100 people","At least 3G %","At least LTE/WiMAX %","Active mobile-broadband subscriptions count","At least 2G %","256 kbit/s to less than 2 Mbit/s count","256 kbit/s to less than 2 Mbit/s % fixed broadband subscriptions","256 kbit/s to less than 2 Mbit/s per 100 people","2 Mbit/s to less than 10 Mbit/s count","2 Mbit/s to less than 10 Mbit/s per 100 people","Fixed-broadband subscriptions count","Equal to or above 10 Mbit/s count","Equal to or above 10 Mbit/s per 100 people","Satellite broadband count","Terrestrial fixed wireless count","Fibre-to-the-home/building count","Other fixed broadband count","Households with Internet access at home %","DSL  count","Data and voice mobile-broadband subscriptions count","Data-only mobile-broadband subscriptions count","Active subscriptions to LTE/WiMAX mobile-broadband networks count","Cable modem count","10 Mbit/s to less than 30 Mbit/s count","30 Mbit/s to less than 100 Mbit/s count","Equal to or above 100 Mbit/s count","Equal to or above 10 Mbit/s % fixed broadband subscriptions","2 Mbit/s to less than 10 Mbit/s % fixed broadband subscriptions","At least 5G %","entityName.y","Female %","Male %","Individuals using the Internet %","entityName","Full-time equivalent telecommunication employees  per 1000 main lines","Annual foreign investment in telecommunications LCU","Full-time equivalent telecommunication employees  count","Full-time equivalent telecommunication employees  female","Revenue from all telecommunication services USD","Annual investment in telecommunication services USD","Revenue from all telecommunication services per employee","Annual investment in telecommunication services As % of revenues","Individuals with basic ICT skills in safety","Individuals with above basic ICT skills in safety","Individuals with basic ICT skills in information and data literacy","Individuals with above basic ICT skills in information and data literacy","Individuals with basic ICT skills in digital content creation","Individuals with above basic ICT skills in digital content creation","Individuals with basic skills in communication and collaboration","Individuals with above basic ICT skills in communication and collaboration","Individuals with basic ICT skills in problem solving","Individuals with above basic ICT skills in problem solving"
"740","MDG","Madagascar",2021,17.3765,NA,0.104183,67.1,27.11,5159270,88,836,2.70262,0.00281566,9645,0.0324845,30933,20452,0.0688826,8,130,20502,9527,17.0783,322,NA,3772460,NA,NA,NA,NA,14607,66.1171,31.1803,NA,"Madagascar",NA,NA,13.7459,"Madagascar",59.9472,NA,2159,806,332081000,92099700,153812,27.7341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","MWI","Malawi",2021,38.99,36.5928,0.0670815,84.4,68.6,7816430,86.3,4852,36.0797,0.0242028,7309,0.0364589,13448,1287,0.00641983,NA,12373,1075,NA,14.6817,NA,7335850,397906,1199570,NA,487,413,387,9.5702,60.549,0,"Malawi",NA,NA,17.4703,"Malawi",66.5592,NA,826,458,312696000,45923600,378566,14.6863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","MYS","Malaysia",2021,122.559,121.5,10.8922,95.4,95.4,42016100,98.5,44700,1.19708,0.130388,76500,0.223147,3734100,3612900,10.5386,5300,22200,3424300,4400,94.9486,277900,41653000,363100,40876300,NA,198300,1145100,2269500,96.7542,2.04869,4,"Malaysia",96.32,97.1502,96.7514,"Malaysia",4.13479,31098400000,34100,14300,7755770000,1313590000,227442,16.9369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","MDV","Maldives",2021,46.8548,30.8704,14.8246,100,100,241843,100,NA,NA,NA,NA,NA,76518,NA,NA,0,9,56574,1127,92.0838,1453,159339,82504,NA,17364,NA,NA,NA,NA,NA,45,"Maldives",NA,NA,81.9576,"Maldives",72.2599,NA,1012,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","MLI","Mali",2021,39.1669,37.8417,0.648338,68,47,8768930,100,1461,1.00652,0.00652563,117043,0.522779,145154,26650,0.119034,10,51629,16910,51639,42.1169,24928,8472240,296697,0,0,0,0,0,18.3598,NA,0,"Mali",NA,NA,33.9565,"Mali",4.06902,0,1225,294,1008060000,169733000,822906,16.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","MLT","Malta",2021,79.0795,76.4676,42.1831,100,100,414674,100,0,0,0,266,0.050727,221198,220932,42.1324,0,14752,48116,0,90.542,51333,400978,13696,14752,106997,2905,80019,138008,99.8797,0.120254,25,"Malta",87.7905,87.1814,87.4698,"Malta",5.60827,NA,1447,470,303317000,NA,209618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","MHL","Marshall Islands",2021,NA,NA,2.27718,NA,NA,NA,65,NA,NA,NA,NA,NA,942,NA,NA,NA,NA,NA,NA,67.1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Marshall Islands",NA,NA,63.9726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","MRT","Mauritania",2021,68.9697,NA,0.405903,43.7,34.7,3265630,96.6,NA,NA,NA,NA,NA,19219,NA,NA,NA,NA,NA,NA,51.1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Mauritania",NA,NA,29.9707,"Mauritania",12.2732,NA,713,184,291404000,79194000,408701,27.1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","MUS","Mauritius",2021,110.322,109.587,25.7029,99,99,1411700,99,57300,17.4217,4.47788,300,0.0234444,328900,271300,21.2016,NA,NA,270600,NA,73.75,NA,1402300,9400,378845,NA,242100,21000,8200,82.4871,0.0912131,4.5,"Mauritius",NA,NA,71.6,"Mauritius",5.11618,NA,2400,1000,241357000,NA,100565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","MEX","Mexico",2021,85.7644,84.8381,19.2797,95.68,94.96,109477000,96.57,124352,0.505288,0.0974178,1599810,1.2533,24610100,22478800,17.6099,418165,67079,8500630,315556,66.4401,5124700,108294000,1169710,91876600,9237230,12605300,7171510,2668770,91.3394,6.17358,0,"Mexico",74.816,76.5124,75.6265,"Mexico",11.0635,7587190000,276490,92111,26558700000,3776800000,96056.8,14.2205,NA,NA,15.0485,53.3428,4.28579,27.6046,9.47047,62.1713,17.2562,27.5098
"750","FSM","Micronesia",2021,NA,NA,5.37519,15,0,NA,80,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","MDA","Moldova",2021,88.9254,84.0695,25.2113,99.9,99,2688910,99.99,8300,1.08876,0.274491,6055,0.200246,762333,747978,24.7365,NA,2066,610643,NA,66.7502,104272,2542070,146833,1998290,45352,119488,375715,252775,98.117,0.794272,0,"Moldova",NA,NA,74.495,"Moldova",5.84567,NA,5847,2295,266304000,63110500,45545.5,23.6986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","MCO","Monaco",2021,91.0037,82.119,54.9173,100,100,35061,100,16,0.0756215,0.0415293,44,0.114206,21158,21098,54.7616,0,0,2512,0,96.9179,1201,31638,3423,NA,12458,379,3357,17362,99.7164,0.207959,100,"Monaco",NA,NA,99.0776,"Monaco",5.35951,NA,243,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","MNG","Mongolia",2021,116.456,108.791,11.393,100,99,3889240,100,12112,3.18327,0.36267,117458,3.51705,380489,250919,7.51328,762,12265,354155,NA,80.0304,13307,3633270,255971,2809590,NA,113505,136128,1286,65.9465,30.9322,0,"Mongolia",80.4054,82.9063,81.6068,"Mongolia",29.2383,NA,11673,5346,576878000,97757100,49419.8,16.9459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","MNE","Montenegro",2021,93.06,85.1034,31.1809,98.01,97.83,561944,98.41,758,0.402579,0.125528,24214,4.00993,188286,163314,27.0454,72,3178,80664,402,80.7588,53543,513898,48046,450506,50427,29956,56198,77160,86.7372,12.8602,0,"Montenegro",81.6723,82.6814,82.2197,"Montenegro",8.47408,51200200,1606,754,266658000,60933300,166039,22.8507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","MAR","Morocco",2021,82.862,81.9674,6.14618,99.32,99.05,30621200,99.75,1029,0.0453047,0.00278451,1206780,3.26558,2271290,1063480,2.87781,7936,242857,384390,37801,86.211,1598300,30290600,330566,25333900,NA,674295,31142,358043,46.8228,NA,0,"Morocco",86.3624,89.9199,88.1303,"Morocco",3.65659,NA,9183,2593,3773720000,689771000,410946,18.2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","MOZ","Mozambique",2021,19.6826,19.5788,0.206558,85,50,6240910,85,5182,7.91205,0.016343,39871,0.125745,65495,20442,0.0644699,NA,9100,5162,506,8.88268,27661,6208000,32911,4789100,23066,20442,NA,NA,31.2115,60.8764,0,"Mozambique",NA,NA,16.3576,"Mozambique",46.2619,NA,2761,884,638821000,156970000,231373,24.5719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","MMR","Myanmar",2021,110.396,110.005,1.67276,94.31,94.31,58937200,96.34,55782,6.24631,0.104486,464955,0.870913,893039,372302,0.697363,146,427098,453245,3728,54.3834,8822,58728400,208745,31695300,NA,350377,19772,2153,41.6893,52.0644,0,"Myanmar",NA,NA,56.5261,"Myanmar",21.4138,5.8654e+10,11181,4553,NA,290007000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","NAM","Namibia",2021,68.3899,67.398,3.17813,89,79,1922130,100,1231,1.37814,0.0437993,65095,2.3161,89323,6010,0.213837,838,NA,10111,9097,67.221,72336,1894250,27877,1894250,NA,0,0,0,25.7459,84.2665,0,"Namibia",NA,NA,60.26,"Namibia",10.5803,NA,972,369,273314000,67986600,281187,24.8749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","NRU","Nauru",2021,34.1618,NA,NA,98,30,4000,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","NPL","Nepal (Republic of)",2021,89.486,NA,4.30873,54.1,45,26376000,93,NA,NA,NA,NA,NA,1270000,NA,NA,NA,NA,NA,NA,49.8863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nepal (Republic of)",NA,NA,45.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","NLD","Netherlands",2021,136.932,132.232,42.9461,99,99,24278800,100,1100,0.014446,0.00620398,9885,0.0557512,7614580,7603590,42.8841,NA,NA,1917650,NA,95.9901,2229000,23445600,833279,NA,3467930,438867,3082200,4082520,99.8557,0.14432,82.3,"Netherlands",92.1053,92,92.053,"Netherlands",NA,NA,NA,NA,11467900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","NCL","New Caledonia",2021,NA,NA,19.2838,97.4,79.5,NA,97.4,NA,NA,NA,NA,NA,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","NZL","New Zealand",2021,93.6821,NA,35.2628,98.25,97.5,4785000,98.25,NA,NA,NA,NA,NA,1801120,NA,NA,1915,276493,1150710,NA,95.9877,330000,NA,NA,NA,42000,NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,96.1151,"New Zealand",12.1145,NA,11000,3960,3655890000,1147390000,332353,31.3848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","NIC","Nicaragua",2021,56.8714,NA,4.5138,72.14,68.7,3778960,73,NA,NA,NA,NA,NA,299930,NA,NA,0,NA,28466,68388,41.3617,51196,NA,NA,2594040,151880,NA,NA,NA,NA,NA,0,"Nicaragua",NA,NA,47.0806,"Nicaragua",NA,174746000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","NER","Niger",2021,33.0978,NA,NA,24,15,8109670,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Niger",NA,NA,17.474,"Niger",NA,NA,1634,NA,438799000,133975000,268543,30.5322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","NGA","Nigeria",2021,35.7123,35.3151,0.0301639,84.63,61.94,78041900,92.9,44568,NA,0.0203945,2379,0.00108864,65917,18970,0.00868076,3529,21859,37256,3273,34.6,NA,77173900,867941,43510300,NA,NA,NA,NA,NA,3.60908,NA,"Nigeria",NA,NA,35.5098,"Nigeria",139.381,3.11376e+11,14828,4174,7913360000,2749940000,533677,34.7506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","MKD","North Macedonia",2021,76.5439,76.1709,26.9449,99.88,99.58,1416910,99.88,2350,0.471151,0.126951,36001,1.94484,498779,460428,24.8731,NA,77685,113012,41637,74.0426,122633,1410010,6905,NA,143812,251358,192504,16566,92.311,7.3516,NA,"North Macedonia",NA,NA,81.8737,"North Macedonia",NA,NA,NA,NA,343951000,60434400,NA,17.5706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","NOR","Norway",2021,114.889,109.586,44.9392,99.9,99.9,6213320,99.9,0,0,0,46184,0.85398,2430350,2384170,44.0852,2152,160015,1600630,11366,99,114831,5926490,286832,NA,541364,328686,339071,NA,98.0997,NA,23.3,"Norway",99,99,99,"Norway",NA,NA,NA,NA,4228880000,1752700000,NA,41.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","PAK","Pakistan",2021,44.965,NA,1.23144,78.1,75.4,107681000,88.8,98657,3.34541,0.0411967,1650640,0.689266,2949030,1199730,0.500978,NA,262234,581432,603463,35.7795,1484610,NA,NA,89092300,17293,1151260,43077,5399,40.6823,56.6414,0,"Pakistan",NA,NA,21.4107,"Pakistan",15.3657,40906100000,39484,2098,4242560000,2154630000,107450,50.7861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","PSE","State of Palestine",2021,19.8782,19.832,8.01283,59,0,1030750,98,36,0.00866443,0.000694266,165121,3.18438,415492,250335,4.82775,0,9610,2870,0,87.8457,403012,1028360,2392,0,0,201852,45086,3397,60.2503,40.882,0,"State of Palestine",NA,NA,82.1783,"State of Palestine",5.22612,393260,2539,735,NA,NA,NA,10.3816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","PAN","Panama",2021,96.4878,NA,14.8381,95,84,4192790,96,19185,2.97545,0.441501,49892,1.14816,644776,575396,13.2415,NA,NA,81945,22144,83.5994,21782,NA,NA,3582410,518905,172680,134150,242020,89.2397,8.62913,0,"Panama",NA,NA,77.031,"Panama",7.87737,NA,6903,3004,1078830000,268795000,156285,24.9153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","PNG","Papua New Guinea",2021,10.9858,NA,0.20973,64.35,50,1100000,89,NA,NA,NA,NA,NA,21000,NA,NA,NA,NA,NA,NA,31.6086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Papua New Guinea",NA,NA,23.2437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","PRY","Paraguay",2021,69.8969,69.6325,10.8119,95.22,93.5,4672040,99.48,3104,0.429509,0.046438,49916,0.746778,722685,669665,10.0187,8,16083,330862,NA,45.382,28613,4654360,17675,4230850,347119,47981,203914,417770,92.6635,7.57204,0,"Paraguay",77.9169,76.1106,77.0184,"Paraguay",26.293,NA,5363,NA,911772000,212710000,170012,23.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","PER","Peru",2021,81.7008,81.1215,9.05771,87.08,81.26,27088600,88.97,36712,1.22244,0.110725,135389,0.408341,3003170,2831060,8.53865,39283,253361,606889,293648,48.6515,117970,26896600,NA,23896600,1993970,892972,1701940,306510,94.2693,4.65396,5.27,"Peru",69.0545,73.1709,71.1078,"Peru",5.34196,NA,11406,NA,3625300000,818509000,317842,22.5777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","PHL","Philippines",2021,62.7758,NA,8.50898,96,80,7.1e+07,99,NA,NA,NA,NA,NA,9623730,NA,NA,NA,NA,NA,NA,69.0402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6,"Philippines",NA,NA,66.9078,"Philippines",NA,NA,NA,NA,8046900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","POL","Poland",2021,207.247,184.608,22.8166,100,100,78837600,100,25333,0.291872,0.0665952,633979,1.6666,8679490,7048350,18.5286,5163,744221,3125200,382035,92.4198,1490310,70225300,8612240,57440900,2932560,748516,1167750,5132080,81.2069,8.12191,23,"Poland",85.1296,85.6338,85.3749,"Poland",NA,NA,NA,NA,10568400000,2305840000,NA,21.8182,NA,NA,12.668,67.5707,14.7144,28.4271,23.6544,45.1995,12.1337,58.9768
"777","PRT","Portugal",2021,87.7083,81.8123,41.5146,99.9,99.8,9113730,99.9,4815,0.11162,0.0463384,14640,0.140892,4313760,4294310,41.3273,1520,268298,2585170,5471,87.3418,257904,8501080,612648,8306280,1195400,268882,309939,3715490,99.549,0.339235,35,"Portugal",81.1734,83.5513,82.309,"Portugal",1.38248,NA,7354,NA,4326720000,1011390000,588349,23.3755,NA,NA,7.5915,69.1942,11.3829,42.0286,19.6765,56.6277,17.7195,47.5267
"778","PRI","Puerto Rico",2021,93.9774,NA,23.6441,100,90,3057280,100,NA,NA,NA,NA,NA,769192,NA,NA,NA,NA,NA,NA,77.5972,NA,NA,NA,NA,NA,NA,NA,277939,NA,NA,49,"Puerto Rico",85.8109,83.6452,84.7867,"Puerto Rico",9.89626,NA,7192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","QAT","Qatar",2021,137.542,131.258,11.0796,100,99.8,3871770,100,481,0.154222,0.0170871,785,0.0278865,311888,310622,11.0346,NA,19449,291395,0,97.7509,1044,3694890,176881,3871770,NA,23477,106263,180882,99.5941,0.251693,95.7,"Qatar",NA,NA,99.6528,"Qatar",3.26569,NA,1503,415,2875600000,332692000,1913240,11.5695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","ROU","Romania",2021,96.3053,91.6919,31.695,99.98,98.63,18537000,99.98,14439,0.236678,0.075015,120152,0.624226,6100700,5966110,30.9957,730,454205,4516200,75749,88.7443,336411,17649000,888000,15627000,717338,508656,274941,5182510,97.7938,1.96886,11.7,"Romania",82.6689,84.5287,83.5904,"Romania",13.1236,NA,34200,NA,3009310000,667962000,87991.6,22.1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","RUS","Russian Federation",2021,107.702,107.303,23.7409,96.2,89.75,157069000,99.4,502408,1.45109,0.344502,2847020,1.95221,34622800,31273400,21.4442,64092,269886,29562200,1413700,83.9966,3103020,156487000,581445,33259900,332309,NA,NA,14172200,90.3259,8.22296,0,"Russian Federation",87.6003,88.9138,88.2138,"Russian Federation",12.0397,NA,287316,119602,23746300000,6009200000,82648.8,25.3058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","RWA","Rwanda",2021,47.4168,NA,0.238872,98.63,98.07,6332640,98.63,1618,5.07178,0.0121151,4367,0.0326987,31902,25917,0.194058,32,3179,28541,NA,28.7584,150,NA,NA,191459,NA,21871,3798,248,81.2394,13.6888,0,"Rwanda",NA,NA,24.4416,"Rwanda",169.175,NA,2012,689,267928000,48039900,133165,17.9301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","KNA","Saint Kitts and Nevis",2021,103.484,NA,43.0255,100,100,48392,100,NA,NA,NA,3,0.00641533,20120,20117,43.0191,NA,NA,NA,NA,72.5931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Saint Kitts and Nevis",NA,NA,74.3716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784","LCA","Saint Lucia",2021,52.1392,NA,10.6754,100,96,93080,100,NA,NA,NA,10227,5.72871,19058,8831,4.94673,NA,NA,NA,NA,78.2093,NA,NA,NA,NA,NA,NA,NA,NA,46.3375,NA,0,"Saint Lucia",NA,NA,63.0633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","VCT","Saint Vincent and the Grenadines",2021,66.738,66.738,27.102,100,90,68634,100,850,3.04966,0.826519,2278,2.21507,27872,21750,21.1492,NA,NA,NA,NA,70.0269,1239,68634,NA,NA,24594,NA,NA,NA,78.0353,NA,0,"Saint Vincent and the Grenadines",NA,NA,67.4287,"Saint Vincent and the Grenadines",NA,NA,NA,NA,38042200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","WSM","Samoa",2021,13.0976,NA,0.791472,91,49,28000,97,NA,NA,NA,NA,NA,1692,NA,NA,NA,NA,NA,NA,84.6132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Samoa",NA,NA,56.5947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","SMR","San Marino",2021,130.163,NA,34.7102,99,99,45000,99,0,0,0,1700,4.91727,12000,10300,29.7929,NA,NA,3000,NA,88.0482,9000,NA,NA,NA,NA,300,NA,10000,85.8333,14.1667,NA,"San Marino",NA,NA,81.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","STP","Sao Tome and Principe",2021,40.0485,38.9424,1.54216,94,0,88892,94,63,1.84049,0.0283834,2655,1.19616,3423,705,0.317623,NA,1262,1886,NA,57.2218,275,86437,2455,NA,NA,NA,NA,NA,20.596,77.5635,0,"Sao Tome and Principe",NA,NA,61.5241,"Sao Tome and Principe",38.1825,NA,100,32,15269600,2496200,152696,16.3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","SAU","Saudi Arabia",2021,137.175,121.618,33.7974,99.99,99.99,42974700,99.99,74117,0.699999,0.236581,328233,1.04772,10588200,10185800,32.5131,16394,1167920,7400280,NA,99.85,1945830,38101000,4873680,39544900,NA,380242,4736280,5069290,96.2,3.1,NA,"Saudi Arabia",100,100,100,"Saudi Arabia",NA,NA,NA,NA,18878700000,2943060000,NA,15.5893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","SEN","Senegal",2021,92.2069,NA,1.20966,99.4,83.05,15878800,99.4,NA,NA,NA,NA,NA,208314,NA,NA,NA,NA,NA,NA,58.0769,NA,NA,NA,7496440,NA,NA,NA,NA,NA,NA,0,"Senegal",NA,NA,57.2554,"Senegal",14.5158,NA,3795,NA,1137510000,202864000,299738,17.8341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","SYC","Seychelles",2021,76.8179,NA,33.5645,99,98.5,94476,99,NA,NA,NA,NA,NA,41280,NA,NA,NA,20915,6996,NA,60.6017,8357,NA,NA,NA,5012,NA,NA,NA,NA,NA,NA,"Seychelles",NA,NA,87.3383,"Seychelles",21.4194,NA,402,151,86638500,38450300,215519,44.3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","SLE","Sierra Leone",2021,22.0774,NA,0.00227312,79.9,48.64,1787080,93.2,0,0,0,25,0.000308848,184,25,0.000308848,42,0,NA,0,NA,NA,NA,NA,0,50,20,NA,1,13.587,NA,0,"Sierra Leone",NA,NA,18.6539,"Sierra Leone",7330.86,1.9206e+10,1972,592,163515000,NA,82918.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","SGP","Singapore",2021,157.978,NA,27.5211,100,100,8761900,100,NA,NA,NA,NA,NA,1526400,1526400,27.5211,NA,NA,1522500,3700,99.324,200,NA,NA,NA,0,NA,NA,1526400,100,NA,73.57,"Singapore",96.761,97.1014,96.9247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","SVK","Slovakia",2021,88.8145,82.1364,32.6061,99,99,4833960,100,21091,1.18845,0.387506,143544,2.63734,1774670,1610040,29.5812,847,453072,701654,1038,89.9582,443146,4470490,363473,4135990,174913,410485,613919,585631,90.7231,8.08849,14,"Slovakia",88.3705,89.4905,88.9256,"Slovakia",13.9802,NA,8072,2742,1948110000,459497000,241341,23.5868,32.6891,31.2411,11.0307,72.7892,29.0427,43.3107,9.70604,76.3448,33.7958,37.0705
"795","SVN","Slovenia",2021,91.0324,84.5379,31.5503,99.9,99.9,1923960,99.9,1136,0.170363,0.0537499,34369,1.62617,666813,631308,29.8703,98,10005,324478,1309,93.0421,148429,1786700,137260,1750860,182315,119372,173628,338308,94.6754,5.11642,36.6,"Slovenia",89.2274,88.793,89.004,"Slovenia",9.55159,NA,6643,NA,896074000,302649000,134890,33.775,30.2371,28.4606,10.6754,74.3468,25.8653,40.3046,9.74412,76.106,27.275,53.3298
"796","SLB","Solomon Islands",2021,16.7849,NA,0.131132,45,25,128000,95,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,50.4877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Solomon Islands",NA,NA,41.8392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","SOM","Somalia",2021,2.57651,NA,0.688999,70,30,445000,80,35160,29.5462,0.203573,83840,0.485426,119000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","ZAF","South Africa",2021,111.706,57.867,2.75541,99.88,97.94,68702100,99.97,5145,0.303603,0.0083655,221881,0.360767,1694650,1467620,2.38628,3046,222660,1042350,79010,77.4708,337061,35589700,33112400,41445800,10524,563230,560671,343721,86.6034,10.5859,16.58,"South Africa",NA,NA,74.9686,"South Africa",21.2425,4025160000,31273,11608,9882940000,2213510000,316021,22.3973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","SSD","South Sudan",2021,6.21216,1.10438,0.00184064,15,15,675000,48,70,35,0.000644224,60,0.000552192,200,70,0.000644224,150,20,0,0,NA,0,120000,98000,NA,0,20,20,0,35,NA,0,NA,NA,NA,NA,"South Sudan",NA,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","ESP","Spain",2021,106.704,103.561,34.9302,99.8,99.6,50935900,99.8,16185,0.0970662,0.0339055,141448,0.296315,16674200,16516600,34.6,11039,291559,13171000,764,95.9184,1267780,49435600,1500330,41961600,1932030,1423020,269332,14824200,99.0546,0.829774,82.3,"Spain",93.8872,93.908,93.8975,"Spain",2.1067,NA,40155,NA,20655900000,6584340000,514404,31.8763,18.1,59.1,8.6,79,21.2,52.4,4.5,88.3,21.1,63.9
"801","LKA","Sri Lanka",2021,83.4479,81.3614,10.5401,96,96,18943000,99,174,0.00727226,0.000766507,1657610,7.30214,2392650,734865,3.23724,NA,1672970,342549,NA,61.7286,377130,18469300,473640,13024900,NA,734865,NA,NA,30.7134,71.6927,0,"Sri Lanka",41.3885,47.8577,44.4531,"Sri Lanka",3.93979,5.1147e+10,11304,2816,1198500000,421734000,106024,35.1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
